monotonic_us,timestamp_us,lat,lon,alt,roll,pitch,yaw,vel_x,vel_y,vel_z
402938568,1761936372319047,0.000000000,0.000000000,0.000,1.421771,0.065435,-0.901203,0.000000,0.000000,0.000000
402945511,1761936372325990,0.000000000,0.000000000,0.000,1.421776,0.065442,-0.901207,0.000000,0.000000,0.000000
402952541,1761936372333020,0.000000000,0.000000000,0.000,1.421779,0.065447,-0.901206,0.000000,0.000000,0.000000
402959580,1761936372340060,0.000000000,0.000000000,0.000,1.421780,0.065448,-0.901205,0.000000,0.000000,0.000000
402966609,1761936372347089,0.000000000,0.000000000,0.000,1.421790,0.065450,-0.901196,0.000000,0.000000,0.000000
402973578,1761936372354058,0.000000000,0.000000000,0.000,1.421780,0.065454,-0.901204,0.000000,0.000000,0.000000
402980492,1761936372360971,0.000000000,0.000000000,0.000,1.421763,0.065466,-0.901214,0.000000,0.000000,0.000000
402987507,1761936372367986,0.000000000,0.000000000,0.000,1.421765,0.065474,-0.901215,0.000000,0.000000,0.000000
402994640,1761936372375119,0.000000000,0.000000000,0.000,1.421763,0.065474,-0.901214,0.000000,0.000000,0.000000
403001528,1761936372382008,0.000000000,0.000000000,0.000,1.421758,0.065481,-0.901208,0.000000,0.000000,0.000000
403008567,1761936372389046,0.000000000,0.000000000,0.000,1.421763,0.065477,-0.901216,0.000000,0.000000,0.000000
403015600,1761936372396079,0.000000000,0.000000000,0.000,1.421761,0.065471,-0.901216,0.000000,0.000000,0.000000
403022489,1761936372402969,0.000000000,0.000000000,0.000,1.421760,0.065475,-0.901218,0.000000,0.000000,0.000000
403029521,1761936372410000,0.000000000,0.000000000,0.000,1.421756,0.065477,-0.901218,0.000000,0.000000,0.000000
403036552,1761936372417031,0.000000000,0.000000000,0.000,1.421747,0.065475,-0.901210,0.000000,0.000000,0.000000
403043492,1761936372423971,0.000000000,0.000000000,0.000,1.421754,0.065479,-0.901210,0.000000,0.000000,0.000000
403050564,1761936372431044,0.000000000,0.000000000,0.000,1.421761,0.065474,-0.901210,0.000000,0.000000,0.000000
403057608,1761936372438087,0.000000000,0.000000000,0.000,1.421765,0.065476,-0.901212,0.000000,0.000000,0.000000
403064481,1761936372444960,0.000000000,0.000000000,0.000,1.421774,0.065476,-0.901200,0.000000,0.000000,0.000000
403071530,1761936372452009,0.000000000,0.000000000,0.000,1.421777,0.065483,-0.901190,0.000000,0.000000,0.000000
403078561,1761936372459040,0.000000000,0.000000000,0.000,1.421769,0.065479,-0.901198,0.000000,0.000000,0.000000
403085604,1761936372466083,0.000000000,0.000000000,0.000,1.421761,0.065481,-0.901190,0.000000,0.000000,0.000000
403092623,1761936372473102,0.000000000,0.000000000,0.000,1.421762,0.065485,-0.901191,0.000000,0.000000,0.000000
403099496,1761936372479975,0.000000000,0.000000000,0.000,1.421761,0.065482,-0.901196,0.000000,0.000000,0.000000
403106526,1761936372487005,0.000000000,0.000000000,0.000,1.421765,0.065481,-0.901189,0.000000,0.000000,0.000000
403113558,1761936372494038,0.000000000,0.000000000,0.000,1.421759,0.065490,-0.901185,0.000000,0.000000,0.000000
403120617,1761936372501097,0.000000000,0.000000000,0.000,1.421755,0.065470,-0.901176,0.000000,0.000000,0.000000
403127496,1761936372507976,0.000000000,0.000000000,0.000,1.421750,0.065469,-0.901174,0.000000,0.000000,0.000000
