timestamp,pqr_x,pqr_y,pqr_z,acc_x,acc_y,acc_z
1760391187302753,-0.001752,0.001382,-0.001808,0.419533,-5.537198,-7.965776
1760391187303711,0.001107,0.001430,-0.001393,0.419340,-5.541951,-7.952981
1760391187304670,0.001112,-0.004761,0.001089,0.413013,-5.548411,-7.964043
1760391187305787,-0.000125,-0.003112,0.000670,0.409981,-5.542025,-7.984818
1760391187306746,0.001108,0.001413,-0.000974,0.409796,-5.546758,-7.964098
1760391187307704,-0.001373,0.000985,-0.000167,0.408360,-5.561132,-7.965681
1760391187308662,-0.001382,-0.000638,0.000632,0.427375,-5.540367,-7.962482
1760391187309629,0.001116,-0.001040,-0.003435,0.419538,-5.551567,-7.965709
1760391187310746,-0.000108,-0.001894,-0.003020,0.414741,-5.559597,-7.976743
1760391187311704,0.001465,-0.002271,0.001071,0.411465,-5.558010,-7.967214
1760391187312662,-0.003014,0.000184,0.001458,0.411472,-5.546797,-7.960948
1760391187313630,-0.001344,-0.003948,-0.001374,0.422676,-5.549922,-7.962497
1760391187314748,0.002330,-0.000227,-0.001791,0.403475,-5.556426,-7.957771
1760391187315706,0.001892,-0.003133,-0.000546,0.403492,-5.542013,-7.970511
1760391187316674,-0.000918,-0.001876,-0.002212,0.409868,-5.546827,-7.973606
1760391187317791,0.002369,-0.000241,-0.000547,0.421085,-5.558055,-7.975078
1760391187318749,-0.003797,0.000590,0.000224,0.425909,-5.546769,-7.978335
1760391187319707,0.000692,-0.000222,0.000256,0.421127,-5.545202,-7.972063
1760391187320675,-0.002974,-0.001911,-0.003042,0.417900,-5.546805,-7.975196
1760391187321634,0.000294,0.000572,-0.004265,0.422813,-5.545205,-7.987933
1760391187322751,0.001919,0.000596,-0.000563,0.414884,-5.562767,-7.983102
1760391187323719,-0.000109,0.001012,-0.001390,0.419577,-5.551633,-7.983125
1760391187324678,-0.001381,-0.001456,0.000232,0.433754,-5.546806,-7.965519
1760391187325636,-0.001344,-0.001476,-0.001797,0.408435,-5.553192,-7.978466
1760391187326754,0.001921,-0.001454,0.000668,0.422747,-5.548410,-7.983110
1760391187327712,0.000302,-0.001872,-0.000559,0.422519,-5.541938,-7.965561
1760391187328670,0.001125,-0.004779,-0.000545,0.417823,-5.551586,-7.968755
1760391187329786,0.003547,0.002664,-0.001802,0.409937,-5.543700,-7.972114
1760391187330754,-0.000971,-0.001866,0.001057,0.406798,-5.546828,-7.973713
1760391187331712,0.000289,0.001015,-0.002219,0.402086,-5.548469,-7.983294
1760391187332681,0.001911,-0.000659,-0.002200,0.414781,-5.551650,-7.987886
1760391187333641,0.003996,0.000168,-0.003813,0.419620,-5.549969,-7.983143
