timestamp,lat,lon,alt,roll,pitch,yaw,vel_x,vel_y,vel_z
1760402314421335,0.000000000,0.000000000,0.000,0.608270,0.042267,-0.942997,0.000000,0.000000,0.000000
1760402314428226,0.000000000,0.000000000,0.000,0.608265,0.042263,-0.942991,0.000000,0.000000,0.000000
1760402314435264,0.000000000,0.000000000,0.000,0.608275,0.042260,-0.942988,0.000000,0.000000,0.000000
1760402314442308,0.000000000,0.000000000,0.000,0.608274,0.042261,-0.942984,0.000000,0.000000,0.000000
1760402314449346,0.000000000,0.000000000,0.000,0.608278,0.042260,-0.942987,0.000000,0.000000,0.000000
1760402314456227,0.000000000,0.000000000,0.000,0.608270,0.042262,-0.942984,0.000000,0.000000,0.000000
1760402314463266,0.000000000,0.000000000,0.000,0.608272,0.042257,-0.942986,0.000000,0.000000,0.000000
1760402314470347,0.000000000,0.000000000,0.000,0.608272,0.042256,-0.942979,0.000000,0.000000,0.000000
1760402314477228,0.000000000,0.000000000,0.000,0.608270,0.042257,-0.942978,0.000000,0.000000,0.000000
1760402314484277,0.000000000,0.000000000,0.000,0.608269,0.042262,-0.942984,0.000000,0.000000,0.000000
1760402314491315,0.000000000,0.000000000,0.000,0.608273,0.042259,-0.942986,0.000000,0.000000,0.000000
1760402314498352,0.000000000,0.000000000,0.000,0.608269,0.042262,-0.942993,0.000000,0.000000,0.000000
1760402314505232,0.000000000,0.000000000,0.000,0.608262,0.042258,-0.943002,0.000000,0.000000,0.000000
1760402314512271,0.000000000,0.000000000,0.000,0.608272,0.042262,-0.942996,0.000000,0.000000,0.000000
1760402314519311,0.000000000,0.000000000,0.000,0.608274,0.042268,-0.942996,0.000000,0.000000,0.000000
1760402314526228,0.000000000,0.000000000,0.000,0.608259,0.042264,-0.942997,0.000000,0.000000,0.000000
1760402314533280,0.000000000,0.000000000,0.000,0.608257,0.042275,-0.942992,0.000000,0.000000,0.000000
1760402314540320,0.000000000,0.000000000,0.000,0.608249,0.042277,-0.942984,0.000000,0.000000,0.000000
1760402314547358,0.000000000,0.000000000,0.000,0.608248,0.042271,-0.942995,0.000000,0.000000,0.000000
1760402314554238,0.000000000,0.000000000,0.000,0.608245,0.042273,-0.942999,0.000000,0.000000,0.000000
1760402314561277,0.000000000,0.000000000,0.000,0.608242,0.042275,-0.943005,0.000000,0.000000,0.000000
1760402314568376,0.000000000,0.000000000,0.000,0.608237,0.042276,-0.943006,0.000000,0.000000,0.000000
1760402314575265,0.000000000,0.000000000,0.000,0.608238,0.042273,-0.943005,0.000000,0.000000,0.000000
1760402314582369,0.000000000,0.000000000,0.000,0.608236,0.042273,-0.943003,0.000000,0.000000,0.000000
1760402314589248,0.000000000,0.000000000,0.000,0.608230,0.042273,-0.943007,0.000000,0.000000,0.000000
1760402314596287,0.000000000,0.000000000,0.000,0.608234,0.042281,-0.943006,0.000000,0.000000,0.000000
1760402314603328,0.000000000,0.000000000,0.000,0.608234,0.042270,-0.943005,0.000000,0.000000,0.000000
1760402314610366,0.000000000,0.000000000,0.000,0.608240,0.042263,-0.943006,0.000000,0.000000,0.000000
1760402314617248,0.000000000,0.000000000,0.000,0.608229,0.042263,-0.943008,0.000000,0.000000,0.000000
1760402314624331,0.000000000,0.000000000,0.000,0.608232,0.042265,-0.943006,0.000000,0.000000,0.000000
1760402314631368,0.000000000,0.000000000,0.000,0.608230,0.042258,-0.943001,0.000000,0.000000,0.000000
1760402314638439,0.000000000,0.000000000,0.000,0.608236,0.042260,-0.943001,0.000000,0.000000,0.000000
1760402314645318,0.000000000,0.000000000,0.000,0.608238,0.042259,-0.943006,0.000000,0.000000,0.000000
1760402314652354,0.000000000,0.000000000,0.000,0.608231,0.042256,-0.943003,0.000000,0.000000,0.000000
1760402314662559,0.000000000,0.000000000,0.000,0.608224,0.042257,-0.943009,0.000000,0.000000,0.000000
1760402314666338,0.000000000,0.000000000,0.000,0.608227,0.042258,-0.943001,0.000000,0.000000,0.000000
1760402314673244,0.000000000,0.000000000,0.000,0.608235,0.042260,-0.943007,0.000000,0.000000,0.000000
1760402314680286,0.000000000,0.000000000,0.000,0.608237,0.042255,-0.943009,0.000000,0.000000,0.000000
1760402314687323,0.000000000,0.000000000,0.000,0.608233,0.042255,-0.943012,0.000000,0.000000,0.000000
1760402314694361,0.000000000,0.000000000,0.000,0.608229,0.042254,-0.943016,0.000000,0.000000,0.000000
1760402314701249,0.000000000,0.000000000,0.000,0.608233,0.042258,-0.943015,0.000000,0.000000,0.000000
1760402314708314,0.000000000,0.000000000,0.000,0.608234,0.042269,-0.943015,0.000000,0.000000,0.000000
1760402314715353,0.000000000,0.000000000,0.000,0.608240,0.042260,-0.943019,0.000000,0.000000,0.000000
1760402314722293,0.000000000,0.000000000,0.000,0.608240,0.042258,-0.943015,0.000000,0.000000,0.000000
1760402314729345,0.000000000,0.000000000,0.000,0.608238,0.042265,-0.943012,0.000000,0.000000,0.000000
1760402314736382,0.000000000,0.000000000,0.000,0.608236,0.042266,-0.943010,0.000000,0.000000,0.000000
1760402314743272,0.000000000,0.000000000,0.000,0.608236,0.042272,-0.943015,0.000000,0.000000,0.000000
1760402314750308,0.000000000,0.000000000,0.000,0.608243,0.042269,-0.943011,0.000000,0.000000,0.000000
1760402314757388,0.000000000,0.000000000,0.000,0.608247,0.042274,-0.943017,0.000000,0.000000,0.000000
1760402314764275,0.000000000,0.000000000,0.000,0.608248,0.042272,-0.943012,0.000000,0.000000,0.000000
1760402314771324,0.000000000,0.000000000,0.000,0.608243,0.042269,-0.943009,0.000000,0.000000,0.000000
1760402314778362,0.000000000,0.000000000,0.000,0.608246,0.042261,-0.943008,0.000000,0.000000,0.000000
1760402314785244,0.000000000,0.000000000,0.000,0.608251,0.042259,-0.943016,0.000000,0.000000,0.000000
1760402314792282,0.000000000,0.000000000,0.000,0.608258,0.042267,-0.943017,0.000000,0.000000,0.000000
1760402314799329,0.000000000,0.000000000,0.000,0.608257,0.042262,-0.943010,0.000000,0.000000,0.000000
1760402314806208,0.000000000,0.000000000,0.000,0.608256,0.042267,-0.943006,0.000000,0.000000,0.000000
1760402314813404,0.000000000,0.000000000,0.000,0.608240,0.042263,-0.943017,0.000000,0.000000,0.000000
1760402314820292,0.000000000,0.000000000,0.000,0.608237,0.042264,-0.943007,0.000000,0.000000,0.000000
1760402314827206,0.000000000,0.000000000,0.000,0.608234,0.042262,-0.943011,0.000000,0.000000,0.000000
1760402314834402,0.000000000,0.000000000,0.000,0.608225,0.042253,-0.943002,0.000000,0.000000,0.000000
1760402314841281,0.000000000,0.000000000,0.000,0.608226,0.042257,-0.943003,0.000000,0.000000,0.000000
1760402314848318,0.000000000,0.000000000,0.000,0.608231,0.042264,-0.943009,0.000000,0.000000,0.000000
1760402314855356,0.000000000,0.000000000,0.000,0.608230,0.042262,-0.943005,0.000000,0.000000,0.000000
1760402314862235,0.000000000,0.000000000,0.000,0.608232,0.042270,-0.943002,0.000000,0.000000,0.000000
1760402314870654,0.000000000,0.000000000,0.000,0.608234,0.042277,-0.942993,0.000000,0.000000,0.000000
1760402314876290,0.000000000,0.000000000,0.000,0.608229,0.042286,-0.943003,0.000000,0.000000,0.000000
1760402314883215,0.000000000,0.000000000,0.000,0.608229,0.042284,-0.942998,0.000000,0.000000,0.000000
1760402314890302,0.000000000,0.000000000,0.000,0.608230,0.042288,-0.942996,0.000000,0.000000,0.000000
1760402314897404,0.000000000,0.000000000,0.000,0.608229,0.042286,-0.942994,0.000000,0.000000,0.000000
1760402314904327,0.000000000,0.000000000,0.000,0.608235,0.042286,-0.942993,0.000000,0.000000,0.000000
1760402314911260,0.000000000,0.000000000,0.000,0.608237,0.042283,-0.942991,0.000000,0.000000,0.000000
1760402314918348,0.000000000,0.000000000,0.000,0.608240,0.042284,-0.942986,0.000000,0.000000,0.000000
1760402314925239,0.000000000,0.000000000,0.000,0.608243,0.042282,-0.942979,0.000000,0.000000,0.000000
1760402314933204,0.000000000,0.000000000,0.000,0.608251,0.042273,-0.942993,0.000000,0.000000,0.000000
1760402314939296,0.000000000,0.000000000,0.000,0.608252,0.042273,-0.942986,0.000000,0.000000,0.000000
1760402314946321,0.000000000,0.000000000,0.000,0.608255,0.042279,-0.942979,0.000000,0.000000,0.000000
1760402314953273,0.000000000,0.000000000,0.000,0.608250,0.042280,-0.942986,0.000000,0.000000,0.000000
1760402314960318,0.000000000,0.000000000,0.000,0.608251,0.042286,-0.942986,0.000000,0.000000,0.000000
1760402314967211,0.000000000,0.000000000,0.000,0.608254,0.042287,-0.942986,0.000000,0.000000,0.000000
1760402314974281,0.000000000,0.000000000,0.000,0.608254,0.042290,-0.942985,0.000000,0.000000,0.000000
1760402314981198,0.000000000,0.000000000,0.000,0.608247,0.042287,-0.942991,0.000000,0.000000,0.000000
1760402314989733,0.000000000,0.000000000,0.000,0.608244,0.042293,-0.942996,0.000000,0.000000,0.000000
1760402314995191,0.000000000,0.000000000,0.000,0.608243,0.042293,-0.942993,0.000000,0.000000,0.000000
1760402315002583,0.000000000,0.000000000,0.000,0.608241,0.042294,-0.942994,0.000000,0.000000,0.000000
1760402315009301,0.000000000,0.000000000,0.000,0.608236,0.042297,-0.942991,0.000000,0.000000,0.000000
1760402315016263,0.000000000,0.000000000,0.000,0.608235,0.042296,-0.943002,0.000000,0.000000,0.000000
1760402315023192,0.000000000,0.000000000,0.000,0.608230,0.042310,-0.943002,0.000000,0.000000,0.000000
1760402315030218,0.000000000,0.000000000,0.000,0.608232,0.042316,-0.942998,0.000000,0.000000,0.000000
1760402315037194,0.000000000,0.000000000,0.000,0.608233,0.042324,-0.942994,0.000000,0.000000,0.000000
1760402315044233,0.000000000,0.000000000,0.000,0.608236,0.042322,-0.942987,0.000000,0.000000,0.000000
1760402315051271,0.000000000,0.000000000,0.000,0.608237,0.042315,-0.942988,0.000000,0.000000,0.000000
1760402315058319,0.000000000,0.000000000,0.000,0.608227,0.042319,-0.942989,0.000000,0.000000,0.000000
1760402315065356,0.000000000,0.000000000,0.000,0.608227,0.042316,-0.942985,0.000000,0.000000,0.000000
1760402315072310,0.000000000,0.000000000,0.000,0.608237,0.042313,-0.942986,0.000000,0.000000,0.000000
